Product_ID,Product_Name,Category,Price,Quantity_Sold,Rating,Brand
1,Ultra Pro Running Shoes,Footwear,129.99,1250,4.7,Nike
2,Classic Leather Backpack,Accessories,89.99,890,4.5,Timberland
3,Wireless Noise-Canceling Headphones,Electronics,199.99,2100,4.8,Sony
4,Performance Running Shorts,Apparel,49.99,1520,4.4,Adidas
5,Stainless Steel Water Bottle,Sports,34.99,3200,4.6,Hydro Flask
6,Yoga Mat Premium,Sports,59.99,1680,4.7,Manduka
7,Smartphone Screen Protector,Electronics,12.99,5600,4.2,Spigen
8,Casual Cotton T-Shirt,Apparel,24.99,4100,4.3,Uniqlo
9,Professional Camera Bag,Accessories,149.99,520,4.9,Lowepro
10,Memory Foam Pillow,Home,79.99,1200,4.5,Tempur-Pedic
11,Portable Phone Charger,Electronics,39.99,2800,4.4,Anker
12,Winter Thermal Jacket,Apparel,189.99,650,4.6,Columbia
13,Bamboo Desk Organizer,Home,44.99,2300,4.1,Simple Houseware
14,LED Desk Lamp,Home,64.99,1900,4.5,TaoTronics
15,Bluetooth Speaker,Electronics,99.99,3100,4.6,JBL
16,Compression Running Socks,Apparel,19.99,4800,4.3,Smartwool
17,Travel Luggage Set,Accessories,249.99,380,4.7,Samsonite
18,Fitness Resistance Bands,Sports,29.99,2600,4.4,Rogue Fitness
19,Ergonomic Mouse Pad,Accessories,34.99,3400,4.2,Corsair
20,Coffee Maker,Home,119.99,1100,4.5,Cuisinart
21,Anti-Glare Blue Light Glasses,Accessories,59.99,1700,4.3,DIFF Eyewear
22,Lightweight Hiking Boots,Footwear,159.99,720,4.8,Salomon
23,Moisture-Wicking Undershirt,Apparel,34.99,3500,4.4,Under Armour
24,Digital Bathroom Scale,Home,49.99,2200,4.4,Withings
25,Portable USB-C Hub,Electronics,79.99,1600,4.5,Hyper
26,Canvas Crossbody Bag,Accessories,99.99,950,4.6,Tom Bihn
27,Collapsible Water Bottle,Sports,24.99,4200,4.2,Nomader
28,Premium Bed Sheets Set,Home,129.99,1300,4.7,Brooklinen
29,Wireless Phone Charger,Electronics,44.99,2900,4.3,Belkin
30,Athletic Training Gloves,Sports,39.99,1950,4.5,Everlast
31,Stainless Steel Thermos,Accessories,49.99,2700,4.6,Stanley
32,Casual Sneakers,Footwear,99.99,1800,4.4,Converse
